epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr,epoch_time_s,best
1,0.6249,0.6847,0.5565,0.7387,0.7775,0.8740,0.8229,0.7787,9.99e-04,112.7,best
2,0.5443,0.7287,0.5241,0.7191,0.8769,0.6929,0.7741,0.8077,9.97e-04,29.9,best
3,0.5003,0.7597,0.6595,0.7218,0.7389,0.9271,0.8224,0.7849,9.94e-04,29.7,
4,0.4830,0.7672,0.4760,0.7729,0.8416,0.8292,0.8353,0.8463,9.90e-04,29.5,best
5,0.4508,0.7846,0.4596,0.7822,0.9175,0.7543,0.8279,0.8802,9.84e-04,29.2,best
6,0.4353,0.7955,0.4839,0.7458,0.9283,0.6871,0.7897,0.8683,9.77e-04,29.3,
7,0.4164,0.8071,0.4267,0.7942,0.8378,0.8727,0.8549,0.8633,9.68e-04,28.4,best
8,0.3872,0.8254,0.4539,0.7818,0.9372,0.7351,0.8240,0.8943,9.59e-04,28.8,
9,0.3872,0.8247,0.3712,0.8316,0.8963,0.8567,0.8760,0.9015,9.48e-04,28.5,best
10,0.3717,0.8325,0.4827,0.7778,0.9594,0.7102,0.8162,0.9109,9.36e-04,28.8,
11,0.3633,0.8345,0.3592,0.8324,0.8748,0.8855,0.8801,0.9032,9.23e-04,28.4,best
12,0.3553,0.8415,0.3828,0.8098,0.8479,0.8848,0.8660,0.8883,9.09e-04,28.8,
13,0.3320,0.8543,0.6242,0.6778,0.9783,0.5483,0.7027,0.9016,8.94e-04,28.5,
14,0.3207,0.8555,0.3164,0.8596,0.9285,0.8644,0.8953,0.9335,8.78e-04,28.8,best
15,0.3126,0.8632,0.4557,0.7764,0.9775,0.6942,0.8118,0.9366,8.61e-04,28.5,
16,0.3018,0.8668,0.3189,0.8493,0.9146,0.8637,0.8885,0.9310,8.43e-04,28.5,
17,0.2889,0.8739,0.3866,0.8111,0.9581,0.7614,0.8485,0.9385,8.24e-04,28.4,
18,0.2741,0.8842,0.2895,0.8662,0.9045,0.9028,0.9036,0.9377,8.04e-04,28.4,best
19,0.2715,0.8823,0.2568,0.8858,0.9257,0.9085,0.9170,0.9553,7.84e-04,29.2,best
20,0.2613,0.8876,0.3160,0.8658,0.9507,0.8509,0.8980,0.9503,7.62e-04,28.4,
21,0.2502,0.8904,0.2486,0.8929,0.9292,0.9155,0.9223,0.9569,7.41e-04,28.9,best
22,0.2358,0.8997,0.3204,0.8600,0.9602,0.8330,0.8921,0.9552,7.18e-04,28.3,
23,0.2356,0.8989,0.2623,0.8809,0.9360,0.8893,0.9121,0.9545,6.95e-04,29.1,
24,0.2235,0.9045,0.2485,0.8911,0.9197,0.9239,0.9218,0.9557,6.72e-04,29.2,best
25,0.2232,0.9036,0.3642,0.8520,0.8502,0.9552,0.8997,0.9196,6.48e-04,30.0,
26,0.2181,0.9084,0.2428,0.8960,0.9241,0.9264,0.9252,0.9588,6.24e-04,28.8,best
27,0.2121,0.9093,0.3104,0.8796,0.9614,0.8612,0.9085,0.9579,5.99e-04,28.9,
28,0.2053,0.9113,0.2785,0.8844,0.9250,0.9072,0.9160,0.9505,5.75e-04,28.7,
29,0.1938,0.9192,0.2612,0.8853,0.9528,0.8784,0.9141,0.9612,5.50e-04,28.6,
30,0.1882,0.9218,0.3280,0.8667,0.9723,0.8317,0.8966,0.9625,5.25e-04,29.0,
31,0.1823,0.9257,0.2504,0.8884,0.9232,0.9155,0.9194,0.9579,5.00e-04,29.4,
32,0.1715,0.9292,0.2359,0.9018,0.9189,0.9418,0.9302,0.9636,4.75e-04,29.9,best
33,0.1708,0.9289,0.2639,0.8884,0.9613,0.8746,0.9159,0.9650,4.51e-04,29.4,
34,0.1577,0.9352,0.2219,0.9116,0.9434,0.9283,0.9358,0.9691,4.26e-04,30.2,best
35,0.1486,0.9390,0.2420,0.9009,0.9455,0.9098,0.9273,0.9654,4.02e-04,29.5,
36,0.1283,0.9482,0.2448,0.9067,0.9430,0.9213,0.9320,0.9678,3.78e-04,30.0,
37,0.1333,0.9484,0.2274,0.9089,0.9444,0.9232,0.9337,0.9680,3.55e-04,29.6,
38,0.1276,0.9478,0.2562,0.8987,0.9489,0.9028,0.9252,0.9657,3.32e-04,30.0,
39,0.1257,0.9507,0.2652,0.8884,0.9543,0.8816,0.9165,0.9658,3.09e-04,29.3,
40,0.1049,0.9570,0.2921,0.8933,0.9522,0.8912,0.9207,0.9659,2.88e-04,30.1,
41,0.1059,0.9586,0.3032,0.8880,0.9600,0.8752,0.9157,0.9660,2.66e-04,29.8,
42,0.1026,0.9617,0.2849,0.8898,0.9519,0.8861,0.9178,0.9668,2.46e-04,29.9,
43,0.1087,0.9567,0.2305,0.9142,0.9419,0.9341,0.9380,0.9695,2.26e-04,28.8,
44,nan,0.7753,nan,0.3053,0.0000,0.0000,0.0000,1.0000,2.07e-04,29.5,
45,nan,0.4984,nan,0.3053,0.0000,0.0000,0.0000,1.0000,1.89e-04,30.1,
46,nan,0.4950,nan,0.3053,0.0000,0.0000,0.0000,1.0000,1.72e-04,29.4,
